ID,NumberOfLecturesWatched,ViewingTime,NumberOfConfirmationTestsCompleted,NumberOfConfirmationTestsMastered,AverageFirstAttemptCorrectAnswerRate,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
TKYHS001,3,6224,10,2,0.21,3.75,2.08,3,2.92,3
TKYHS003,18,32553,31,27,0.60,2.83,3.25,3.08,4.08,1.17
TKYHS004,31,47252,50,44,0.82,3.17,2.83,4,4.25,2.42
TKYHS005,13,42001,85,82,0.69,3.42,3.92,4.25,4.25,3.42
TKYHS006,19,32665,37,23,0.80,3.67,3.42,1.33,3.67,4.58
TKYHS008,14,23940,21,13,0.69,3.92,2.5,2.67,4.17,1.33
TKYHS010,11,18892,28,25,0.75,4,1.33,1.67,2.58,4
TKYHS011,1,10473,7,0,0.51,4,2.75,4.92,3.25,2.42
TKYHS012,22,44699,39,30,0.68,3.42,2.25,2.25,3.5,3.25
TKYHS013,3,3973,31,24,0.54,3.17,2.83,2.92,3.33,2.42
TKYHS014,3,4705,10,5,0.48,2.67,2.67,2.83,4.08,3.58
TKYHS015,3,21777,261,259,0.69,3.42,3.42,2.33,3.08,3.67
TKYHS016,51,53403,48,43,0.49,4.42,3.75,4.33,3.25,3.33
TKYHS017,1,18474,92,88,0.71,3.83,2.67,3.5,3.5,5
TKYHS018,2,15930,36,28,0.74,3.08,2.58,2.83,2.5,2.33
TKYHS020,2,21317,187,186,0.60,3.67,2.92,2.08,2.33,2.17
TKYHS022,20,46602,85,76,0.63,3.75,1.5,2.25,3.08,4.67
TKYHS023,2,8833,15,7,0.64,3.83,2.58,3.67,3.17,2.08
TKYHS024,37,38831,42,38,0.84,2.83,2.33,2.83,3.08,3.83
TKYHS025,7,24115,257,249,0.63,2.42,3.08,2.58,2.75,2.92
TKYHS026,71,91393,70,37,0.64,2.5,1.42,3.17,3.83,3.33
TKYHS028,8,39014,60,55,0.72,4,1.5,4.67,2.25,2.75
TKYHS029,9,19604,1,1,1.00,3.5,1.67,1.33,2.17,2.25
TKYHS030,1,3373,51,35,0.55,3.42,2.92,3.75,3.67,2.83
TKYHS031,45,50800,109,101,0.63,2.92,2.92,3.25,3.08,3.33
TKYHS032,7,21547,15,8,0.74,3.08,2.92,2.83,3.58,2.83
TKYHS033,71,98531,124,120,0.65,3.33,3.42,4.08,3.75,3.5
TKYHS034,2,9628,39,37,0.42,3,1.75,3.92,3.42,3.25
TKYHS035,1,3406,102,91,0.56,3,3,3,3,3
TKYHS036,10,13484,78,47,0.56,4,3.08,4.25,4.08,3.58
TKYHS037,6,21084,32,25,0.65,3.08,1.83,2.75,2.58,4.33
TKYHS038,22,61688,83,66,0.78,3.17,2.42,2.58,2.25,4.42
TKYHS039,52,87557,80,76,0.77,3,2.33,4.5,2.17,3.17
TKYHS040,7,53989,100,82,0.76,2.17,3.5,3.25,2.83,2.92
TKYHS041,8,41646,32,28,0.77,3.5,4.5,4,3.58,3.58
TKYHS042,12,26207,28,20,0.70,4.58,2.08,3.42,2.83,2.58
TKYHS043,160,256121,215,211,0.55,5,3.75,3.25,4.33,2.5
TKYHS044,1,975,1,0,0.40,2.92,1.67,4.17,3.08,2.58
TKYHS045,16,38057,40,35,0.61,2.5,3.5,2.17,3.25,1.67
TKYHS046,5,15256,25,17,0.41,2.92,2.92,2.58,3.25,3
TKYHS048,12,20086,45,36,0.57,2.92,2,1.5,4.08,3.33
TKYHS049,15,39114,120,114,0.67,4.33,2.42,3.17,3.58,3
TKYHS051,2,7736,31,18,0.57,3.75,1.75,4.08,3.58,2.17
TKYHS052,3,13687,72,61,0.60,3.08,2.25,2.83,3.17,2.5
TKYHS053,10,23759,55,50,0.63,3.5,3.08,3.33,3,2.92
TKYHS054,7,17693,26,20,0.54,2.58,2.33,2.83,2.42,4.33
TKYHS055,38,99838,169,156,0.72,3.08,2.5,2.92,3.17,2.83
TKYHS056,3,17361,27,18,0.48,2.42,3.17,4.5,3.25,1.5
TKYHS057,15,18254,60,53,0.53,4.08,2.75,3.08,3.25,4.83
TKYHS058,15,25145,84,73,0.62,3.58,2.42,4.17,3.75,3.5
TKYHS060,58,101184,93,88,0.48,3.92,1.83,2.92,4.33,4.67
TKYHS061,3,12199,623,616,0.65,3.17,2.17,3.58,3.5,3.58
TKYHS062,11,57275,133,131,0.66,4.58,4.5,4.42,4.42,2.33
TKYHS063,9,27215,140,129,0.75,3.33,2.67,2.33,3,2.83
TKYHS064,11,21191,40,16,0.60,2.92,2.17,4.42,3.17,4.08
TKYHS065,1,5931,83,70,0.52,3.5,3.92,3.33,4.5,1.67
TKYHS067,3,20613,58,51,0.52,2.92,3.25,4.58,2.92,3
TKYHS068,1,2699,16,4,0.43,3.75,2.67,3.75,2.08,4.5
TKYHS069,7,21732,11,11,0.59,3.25,2.33,3.42,4.25,3
TKYHS071,20,42495,16,11,0.76,3,2.83,2.33,4.17,3.25
TKYHS072,11,22127,15,2,0.41,1.83,1,2.58,2.25,3
TKYHS073,4,8536,84,80,0.59,4.17,2.25,4.42,4.25,2
TKYHS075,8,25795,26,21,0.74,3.33,2.17,4.83,3.92,4.17
TKYHS076,18,33860,22,22,0.56,4.08,2.67,2.5,3.42,3.58
TKYHS077,10,19286,9,5,0.63,3.17,3.08,2.08,2.92,4
TKYHS078,3,15193,29,25,0.71,3.17,2.92,3.83,1.92,3.08
TKYHS079,23,34591,37,28,0.63,3.17,1.17,3.67,3.25,2.08
TKYHS080,6,21024,48,24,0.59,2.58,2.83,3.92,3.25,2.08
TKYHS081,11,27227,21,18,0.63,3.92,2.5,2.17,3.33,2.42
TKYHS082,6,25554,30,24,0.46,4.08,2.75,2.33,3.42,4.17
TKYHS084,64,117281,53,46,0.66,4.5,3.17,4.25,3.25,3.92
TKYHS086,7,19855,38,21,0.61,3.58,3.17,2.17,2.5,4.5
TKYHS087,22,51406,130,127,0.71,3.92,3,4.25,4.17,2.33
TKYHS088,50,92284,64,51,0.56,3.83,3.42,3,4,2.58
TKYHS089,9,35252,22,20,0.58,3.67,2.58,2.75,3.25,3.83
TKYHS090,15,29548,39,35,0.60,3.5,2.17,1.83,4.25,2.33
TKYHS091,58,68357,60,57,0.69,4,3.58,2.67,3.92,2.92
TKYHS093,1,9273,29,23,0.63,4.33,3.42,3.42,3.83,1.17
TKYHS094,8,25643,38,31,0.77,3.33,3.33,1.92,3.83,3
TKYHS097,3,4162,9,9,0.52,4.25,3.75,3.42,4.17,1.83
TKYHS099,19,45637,33,33,0.74,4.75,1.83,2.25,2.33,4.5
TKYHS100,5,1535,201,201,0.64,2.75,3.67,4,3.75,3.75
TKYHS101,8,2818,146,146,0.52,3.08,3.67,4.08,3.33,2.42
TKYHS103,6,2627,107,105,0.53,3.33,3.42,3.42,3.33,4.33
TKYHS104,2,646,243,242,0.58,4.08,3.25,4.17,3.25,2.08
TKYHS106,12,4999,180,176,0.48,2.83,3.5,2.25,3.67,4.58
TKYHS107,5,1273,72,69,0.42,3.83,2.5,3.58,4,2.58
TKYHS108,1,958,245,245,0.61,3.17,3,2.17,3.25,4.33
TKYHS109,0,0,89,89,0.63,4.42,3.42,3.42,2.75,3.08
TKYHS110,15,5240,164,152,0.66,2.58,2.83,2.42,3.92,2
TKYHS111,11,4121,196,194,0.55,3,2.92,3.17,3.42,3.08
TKYHS112,28,9570,221,221,0.69,3.92,3.5,3.25,2.75,2.42
TKYHS113,3,1017,101,100,0.69,4.17,3.08,3.92,2.58,1.58
TKYHS114,0,0,99,98,0.52,3,2.92,3.25,3.42,2.17
TKYHS115,3,1384,109,104,0.46,2.83,3.83,3.08,3,1.58
TKYHS116,1,66,101,97,0.72,4.25,3.58,4.08,3.17,2.92
TKYHS117,1,139,91,87,0.70,2.83,2,2.33,2.08,3.83
TKYHS119,1,450,99,99,0.65,4.08,2.75,3.5,3.5,3.25
TKYHS120,28,13110,157,145,0.52,3,3,3.08,3.17,3
TKYHS122,18,7133,77,77,0.75,3.83,2.58,2.92,4,3.17
TKYHS123,6,1579,325,325,0.70,3.5,2.58,3.25,2.92,2.83
TKYHS124,140,51178,358,356,0.67,3.83,3,2.92,4.17,2.5
TKYHS125,8,2959,159,157,0.51,3.83,3,4,3.5,3.08