ID,視聴した講義数,視聴時間,確認テスト完了数,確認テストマスター数,平均初回正答率,開放性,勤勉性,外向性,協調性,否定的情動性
TKYHS001,0,0,0,0,0.00,3.75,2.08,3,2.92,3
TKYHS003,0,389,1,1,0.50,2.83,3.25,3.08,4.08,1.17
TKYHS004,11,8819,10,10,0.90,3.17,2.83,4,4.25,2.42
TKYHS005,0,0,0,0,0.00,3.42,3.92,4.25,4.25,3.42
TKYHS006,5,4801,13,7,0.80,3.67,3.42,1.33,3.67,4.58
TKYHS008,0,396,1,,0.42,3.92,2.5,2.67,4.17,1.33
TKYHS010,3,1928,6,6,0.91,4,1.33,1.67,2.58,4
TKYHS011,0,0,0,0,0.00,4,2.75,4.92,3.25,2.42
TKYHS012,1,4233,3,2,0.38,3.42,2.25,2.25,3.5,3.25
TKYHS013,0,0,0,0,0.00,3.17,2.83,2.92,3.33,2.42
TKYHS014,1,527,0,0,0.00,2.67,2.67,2.83,4.08,3.58
TKYHS015,1,183,60,60,0.63,3.42,3.42,2.33,3.08,3.67
TKYHS016,22,12664,19,18,0.58,4.42,3.75,4.33,3.25,3.33
TKYHS017,0,0,6,6,0.83,3.83,2.67,3.5,3.5,5
TKYHS018,0,358,10,10,0.49,3.08,2.58,2.83,2.5,2.33
TKYHS020,0,4122,91,91,0.71,3.67,2.92,2.08,2.33,2.17
TKYHS022,3,6488,12,11,0.59,3.75,1.5,2.25,3.08,4.67
TKYHS023,0,599,0,0,0.00,3.83,2.58,3.67,3.17,2.08
TKYHS024,8,2457,8,8,1.00,2.83,2.33,2.83,3.08,3.83
TKYHS025,0,0,177,177,0.69,2.42,3.08,2.58,2.75,2.92
TKYHS026,18,22607,20,14,0.67,2.5,1.42,3.17,3.83,3.33
TKYHS028,0,405,0,0,0.00,4,1.5,4.67,2.25,2.75
TKYHS029,0,0,0,0,0.00,3.5,1.67,1.33,2.17,2.25
TKYHS030,0,0,18,17,0.92,3.42,2.92,3.75,3.67,2.83
TKYHS031,17,5523,38,38,0.69,2.92,2.92,3.25,3.08,3.33
TKYHS032,0,583,0,0,0.00,3.08,2.92,2.83,3.58,2.83
TKYHS033,15,4877,27,27,0.60,3.33,3.42,4.08,3.75,3.5
TKYHS034,0,0,0,0,0.00,3,1.75,3.92,3.42,3.25
TKYHS035,0,2,16,15,0.62,3,3,3,3,3
TKYHS036,4,887,32,24,0.55,4,3.08,4.25,4.08,3.58
TKYHS037,0,180,0,0,0.00,3.08,1.83,2.75,2.58,4.33
TKYHS038,2,540,5,5,0.95,3.17,2.42,2.58,2.25,4.42
TKYHS039,9,2747,7,7,0.95,3,2.33,4.5,2.17,3.17
TKYHS040,4,26508,32,24,0.80,2.17,3.5,3.25,2.83,2.92
TKYHS041,0,225,0,0,0.00,3.5,4.5,4,3.58,3.58
TKYHS042,0,2227,0,0,0.00,4.58,2.08,3.42,2.83,2.58
TKYHS043,20,13860,35,34,0.56,5,3.75,3.25,4.33,2.5
TKYHS044,0,0,0,0,0.00,2.92,1.67,4.17,3.08,2.58
TKYHS045,0,0,0,0,0.00,2.5,3.5,2.17,3.25,1.67
TKYHS046,0,0,3,1,0.42,2.92,2.92,2.58,3.25,3
TKYHS048,3,1718,8,6,0.44,2.92,2,1.5,4.08,3.33
TKYHS049,1,1154,20,20,0.74,4.33,2.42,3.17,3.58,3
TKYHS051,0,1,13,13,0.78,3.75,1.75,4.08,3.58,2.17
TKYHS052,1,241,7,6,0.92,3.08,2.25,2.83,3.17,2.5
TKYHS053,2,2352,5,5,0.69,3.5,3.08,3.33,3,2.92
TKYHS054,0,877,2,2,0.43,2.58,2.33,2.83,2.42,4.33
TKYHS055,21,45916,49,44,0.71,3.08,2.5,2.92,3.17,2.83
TKYHS056,0,0,0,0,0.00,2.42,3.17,4.5,3.25,1.5
TKYHS057,3,709,5,5,0.54,4.08,2.75,3.08,3.25,4.83
TKYHS058,2,1178,20,17,0.51,3.58,2.42,4.17,3.75,3.5
TKYHS060,10,9631,10,10,0.52,3.92,1.83,2.92,4.33,4.67
TKYHS061,0,911,246,246,0.73,3.17,2.17,3.58,3.5,3.58
TKYHS062,0,2,17,16,0.78,4.58,4.5,4.42,4.42,2.33
TKYHS063,0,52,31,31,0.79,3.33,2.67,2.33,3,2.83
TKYHS064,0,4,16,5,0.69,2.92,2.17,4.42,3.17,4.08
TKYHS065,0,0,19,19,0.74,3.5,3.92,3.33,4.5,1.67
TKYHS067,0,0,0,0,0.00,2.92,3.25,4.58,2.92,3
TKYHS068,0,0,0,0,0.00,3.75,2.67,3.75,2.08,4.5
TKYHS069,0,1691,0,0,0.00,3.25,2.33,3.42,4.25,3
TKYHS071,1,1306,1,1,1.00,3,2.83,2.33,4.17,3.25
TKYHS072,1,163,0,0,0.00,1.83,1,2.58,2.25,3
TKYHS073,2,526,14,14,0.76,4.17,2.25,4.42,4.25,2
TKYHS075,0,0,0,0,0.00,3.33,2.17,4.83,3.92,4.17
TKYHS076,2,587,2,2,0.83,4.08,2.67,2.5,3.42,3.58
TKYHS077,0,2893,0,0,0.00,3.17,3.08,2.08,2.92,4
TKYHS078,0,0,0,0,0.00,3.17,2.92,3.83,1.92,3.08
TKYHS079,5,1025,7,6,0.63,3.17,1.17,3.67,3.25,2.08
TKYHS080,0,1511,24,9,0.49,2.58,2.83,3.92,3.25,2.08
TKYHS081,0,0,0,0,0.00,3.92,2.5,2.17,3.33,2.42
TKYHS082,1,3020,0,0,0.00,4.08,2.75,2.33,3.42,4.17
TKYHS084,1,5108,1,1,1.00,4.5,3.17,4.25,3.25,3.92
TKYHS086,0,0,2,2,0.83,3.58,3.17,2.17,2.5,4.5
TKYHS087,0,0,17,17,0.78,3.92,3,4.25,4.17,2.33
TKYHS088,0,0,0,0,0.00,3.83,3.42,3,4,2.58
TKYHS089,0,1019,0,0,0.00,3.67,2.58,2.75,3.25,3.83
TKYHS090,0,0,0,0,0.00,3.5,2.17,1.83,4.25,2.33
TKYHS091,11,5584,11,11,0.71,4,3.58,2.67,3.92,2.92
TKYHS093,0,0,1,1,1.00,4.33,3.42,3.42,3.83,1.17
TKYHS094,0,282,7,6,0.71,3.33,3.33,1.92,3.83,3
TKYHS097,1,473,1,1,1.00,4.25,3.75,3.42,4.17,1.83
TKYHS099,0,0,0,0,0.00,4.75,1.83,2.25,2.33,4.5
TKYHS100,2,332,66,66,0.64,2.75,3.67,4,3.75,3.75
TKYHS101,0,61,69,69,0.58,3.08,3.67,4.08,3.33,2.42
TKYHS103,0,0,56,55,0.77,3.33,3.42,3.42,3.33,4.33
TKYHS104,1,213,27,27,0.76,4.08,3.25,4.17,3.25,2.08
TKYHS106,3,815,74,71,0.52,2.83,3.5,2.25,3.67,4.58
TKYHS107,2,350,35,34,0.60,3.83,2.5,3.58,4,2.58
TKYHS108,0,7,100,100,0.84,3.17,3,2.17,3.25,4.33
TKYHS109,0,0,9,9,0.94,4.42,3.42,3.42,2.75,3.08
TKYHS110,0,37,22,21,0.89,2.58,2.83,2.42,3.92,2
TKYHS111,0,36,38,37,0.64,3,2.92,3.17,3.42,3.08
TKYHS112,0,46,95,95,0.87,3.92,3.5,3.25,2.75,2.42
TKYHS113,0,142,44,44,0.89,4.17,3.08,3.92,2.58,1.58
TKYHS114,0,0,19,19,0.47,3,2.92,3.25,3.42,2.17
TKYHS115,1,101,26,24,0.41,2.83,3.83,3.08,3,1.58
TKYHS116,0,0,22,22,0.90,4.25,3.58,4.08,3.17,2.92
TKYHS117,0,0,20,18,0.77,2.83,2,2.33,2.08,3.83
TKYHS119,0,0,27,27,0.80,4.08,2.75,3.5,3.5,3.25
TKYHS120,10,2836,59,52,0.64,3,3,3.08,3.17,3
TKYHS122,0,0,7,7,1.00,3.83,2.58,2.92,4,3.17
TKYHS123,0,23,250,250,0.88,3.5,2.58,3.25,2.92,2.83
TKYHS124,63,23118,195,194,0.72,3.83,3,2.92,4.17,2.5
TKYHS125,0,56,39,39,0.62,3.83,3,4,3.5,3.08