date,風水力機械,運搬機械,産業用ロボット,金属加工機械,冷凍機械,合成樹脂加工機械
2005/4/1,51286,91284,42432,29097,30009,19968
2005/5/1,45858,92857,37528,29087,35792,17421
2005/6/1,65973,81846,43219,24344,42988,18402
2005/7/1,56510,71915,35862,23850,40778,19071
2005/8/1,68368,70098,31499,21521,31562,21314
2005/9/1,83751,103681,36596,32661,37186,20285
2005/10/1,70161,74445,36377,22417,26298,19112
2005/11/1,67461,68208,35142,25512,30679,20109
2005/12/1,72048,71793,36513,32086,32591,21779
2006/1/1,57256,66015,39273,18531,34992,21580
2006/2/1,57758,66124,39417,19528,31753,21656
2006/3/1,97569,118478,41431,32605,49199,21844
2006/4/1,58769,90965,48195,46971,28203,20827
2006/5/1,61100,91729,47446,23976,35257,21547
2006/6/1,95386,114918,39136,30787,47932,20918
2006/7/1,56694,82922,33923,28024,41997,18925
2006/8/1,73925,77672,33241,23542,34961,17210
2006/9/1,88233,96757,34575,39628,40010,18064
2006/10/1,61105,91668,32321,30265,27179,15724
2006/11/1,61485,79741,34816,31082,35649,21907
2006/12/1,62984,80344,40583,26176,39927,18845
2007/1/1,56493,74115,32387,23386,28912,18061
2007/2/1,68235,72587,31188,30482,34726,18610
2007/3/1,89544,121475,35786,33287,48685,23170
2007/4/1,55634,86934,51436,31326,35296,18883
2007/5/1,68011,102158,50330,23834,38513,23401
2007/6/1,85446,96872,43824,25512,50919,22628
2007/7/1,69672,95647,40588,24975,40172,20502
2007/8/1,79948,81211,34414,31639,37213,20150
2007/9/1,88761,106568,33011,33087,47763,23149
2007/10/1,82989,84541,31829,25956,32556,22499
2007/11/1,77606,89677,39045,26797,37901,20345
2007/12/1,79461,93161,36599,27734,39897,22467
2008/1/1,56991,80633,34676,26682,31228,18895
2008/2/1,75924,88289,42467,27653,39778,19347
2008/3/1,92216,140726,45328,44323,48839,17749
2008/4/1,75019,92045,43619,25615,33219,16416
2008/5/1,67376,85423,44022,29559,36930,21559
2008/6/1,71913,101680,32461,30668,51740,19928
2008/7/1,72799,92531,31673,28102,47358,17136
2008/8/1,70441,78522,24307,25848,35140,13626
2008/9/1,75507,113655,27760,28937,46749,15968
2008/10/1,69507,68399,21839,14995,29662,10555
2008/11/1,59762,48957,15058,14321,28865,7041
2008/12/1,58093,67125,11013,8657,33503,7510
2009/1/1,44509,42817,9232,5765,24995,5145
2009/2/1,53463,48986,7212,4749,26376,3220
2009/3/1,71479,68614,8362,8950,37541,3666
2009/4/1,43811,52714,10104,7329,25653,5300
2009/5/1,34921,40868,10517,6304,26564,6763
2009/6/1,39893,52316,13974,10822,37666,9437
2009/7/1,40701,45519,14825,10220,35000,8492
2009/8/1,47500,47077,14742,6397,25589,9356
2009/9/1,56936,86580,17063,13451,33936,13429
2009/10/1,46052,51153,20338,9119,23950,11738
2009/11/1,49677,41605,19781,10642,27332,11445
2009/12/1,72088,55240,19652,15914,30340,15192
2010/1/1,48175,51925,25817,23477,27056,14384
2010/2/1,55655,56505,30127,14312,26732,13036
2010/3/1,98935,98944,31041,19009,37981,17727
2010/4/1,56935,68474,40253,12716,24169,17951
2010/5/1,42057,49942,37703,16575,27939,16565
2010/6/1,64813,67349,31431,24500,41070,20353
2010/7/1,60328,60226,29325,55834,41404,19761
2010/8/1,62797,63827,23614,14368,33011,16793
2010/9/1,74371,82537,27768,23263,33439,15914
2010/10/1,67487,59906,26870,16265,26126,15061
2010/11/1,68027,65344,25721,19433,29316,16628
2010/12/1,67307,76036,31239,20953,34825,19050
2011/1/1,61450,58173,32344,22095,27954,17525
2011/2/1,64489,60250,35482,19622,32248,17582
2011/3/1,95252,94274,35802,37161,39211,15777
2011/4/1,62924,67589,39448,20855,27157,16305
2011/5/1,58518,63042,44209,23771,29010,15078
2011/6/1,75995,79537,39806,27280,41223,19654
2011/7/1,77266,59670,33312,16714,37793,16421
2011/8/1,66619,63517,27437,19439,31042,19060
2011/9/1,72778,87095,22653,34206,33779,14351
2011/10/1,61191,60693,27917,23582,23641,13635
2011/11/1,72529,63008,26536,20395,27856,20446
2011/12/1,75915,74191,28366,27607,31653,21266
2012/1/1,66345,59794,33159,25528,24237,20586
2012/2/1,64333,67343,31595,27596,29418,17613
2012/3/1,88431,102696,33941,30650,42048,25025
2012/4/1,56484,64905,33236,19977,25399,18254
2012/5/1,58771,57388,31457,20247,32829,18278
2012/6/1,60021,75110,31644,24561,42933,14642
2012/7/1,61033,61640,31178,26320,42072,14474
2012/8/1,55528,67641,19315,20096,30979,15718
2012/9/1,65738,78277,20910,24749,31413,16011
2012/10/1,59251,73349,25328,21575,24929,12955
2012/11/1,63867,60917,24857,23039,29786,15143
2012/12/1,64149,69458,21529,23640,32336,15145
2013/1/1,56789,55158,24736,18819,24544,15991
2013/2/1,67713,62083,29850,18550,31298,16030
2013/3/1,94665,124909,29671,21948,45947,20117
2013/4/1,60370,65988,37134,19864,21578,16356
2013/5/1,72085,64287,27982,19677,32076,19426
2013/6/1,70545,71678,33573,24241,41279,17425
2013/7/1,71568,71968,28723,21308,45304,16498
2013/8/1,68805,61621,27785,21242,33616,16196
2013/9/1,78942,87149,26753,29835,33077,20269
2013/10/1,81648,73994,29524,23332,29822,15422
2013/11/1,67552,58977,32122,22081,33623,15148
2013/12/1,87236,80504,33501,21027,38773,15083
2014/1/1,65370,61084,34336,19906,31852,20724
2014/2/1,67400,66898,31098,20348,37607,15224
2014/3/1,97602,96735,36813,24643,41230,20435
2014/4/1,65993,66694,37872,26966,28267,17400
2014/5/1,60223,79992,37255,16249,24915,21164
2014/6/1,76092,69243,36574,30446,42442,17081
2014/7/1,63173,77825,40395,27064,41881,19158
2014/8/1,56341,55196,33010,21112,33697,16749
2014/9/1,78922,94791,35766,30125,29943,19879
2014/10/1,68984,64605,34056,22383,27404,14953
2014/11/1,72891,57992,32392,21794,31145,19017
2014/12/1,76093,87964,36729,26984,35509,20759
2015/1/1,81077,62128,36233,22154,28233,26309
2015/2/1,73280,83314,40972,18255,31309,18650
2015/3/1,97925,141781,39418,28115,42416,19197
2015/4/1,62168,67236,39100,22246,25909,17601
2015/5/1,63024,67571,33484,26219,29022,19141
2015/6/1,77682,99250,39513,34132,43739,22823
2015/7/1,78224,95823,37268,26231,46429,18997
2015/8/1,65859,70948,35517,23003,36657,18451
2015/9/1,91604,111374,35335,18093,39611,18752
2015/10/1,76998,69242,33553,23907,29438,19025
2015/11/1,64766,70983,32986,23394,33049,16656
2015/12/1,81649,80086,33359,23745,39580,21583
2016/1/1,60253,57449,36704,17920,27786,17206
2016/2/1,65056,74715,34782,16757,31388,23111
2016/3/1,93465,125886,37738,28740,44505,18300
2016/4/1,61319,67939,37104,14111,24567,17316
2016/5/1,56096,63789,36129,18116,31350,17092
2016/6/1,70929,75250,42276,25023,43610,24039
2016/7/1,64881,81437,36620,25822,45902,19755
2016/8/1,69472,84580,38834,21606,38354,18803
2016/9/1,86629,116061,43043,23410,37549,18464
2016/10/1,67643,74620,38350,20224,25714,18782
2016/11/1,74084,75338,42734,22092,36943,18585
2016/12/1,77581,80824,44194,19757,35288,21376
2017/1/1,66804,68366,45961,20130,27554,23263
2017/2/1,72214,81135,45420,22940,32868,21204
2017/3/1,98453,130387,62552,30735,43557,23308
2017/4/1,74798,75158,57207,23560,29330,25421
2017/5/1,64154,74784,58464,22814,32676,20317
2017/6/1,84649,108771,56030,24832,43172,26120
2017/7/1,79872,78291,51434,18354,48647,28643
2017/8/1,85791,93589,48940,17862,37150,25055
2017/9/1,84225,110288,47635,34259,36903,28420
2017/10/1,84591,66765,50223,22924,30891,37250
2017/11/1,80499,99314,54300,21173,37359,25293
2017/12/1,85954,97123,57181,26210,40566,25848
2018/1/1,70837,68767,54746,20516,30137,26708
2018/2/1,82639,78321,60177,24504,34573,26231
2018/3/1,93174,145109,61937,29087,39502,19587
2018/4/1,82907,85511,59195,29965,36001,30545
2018/5/1,79568,114407,52060,25510,39344,29022
2018/6/1,89721,129412,50463,24204,46595,29252
2018/7/1,87525,86849,45203,24099,54614,24435
2018/8/1,86969,89834,45326,24943,40561,21261
2018/9/1,94573,111390,41090,29630,36330,21893
2018/10/1,94138,87605,42528,27770,36501,24137
2018/11/1,90405,85220,41816,21281,39778,18366
2018/12/1,103951,88969,37795,26807,40715,24034
2019/1/1,85105,74405,39177,20066,32326,23037
2019/2/1,84392,80761,38598,18519,38007,20201
2019/3/1,98803,148062,44473,32488,44764,18802
2019/4/1,86098,84231,46572,20273,39285,19407
2019/5/1,71142,77397,44781,21104,47569,19300
2019/6/1,84268,89244,46372,19048,53541,22631
2019/7/1,81957,87126,42632,19557,51444,20685
2019/8/1,82770,74552,44854,17367,40802,23624
2019/9/1,84876,100932,42703,31633,46090,19176
2019/10/1,83530,72028,41853,17973,33356,11643
2019/11/1,74262,80071,45108,17054,40561,13776
2019/12/1,81633,83479,46297,20204,40702,18381
2020/1/1,76369,80673,56753,12225,29939,18642
2020/2/1,68703,75766,39387,17716,34608,15817
2020/3/1,98070,195795,52765,25346,46582,22526
2020/4/1,63464,66514,49629,8756,30020,11669
2020/5/1,57031,56254,37760,6236,34539,16039
2020/6/1,75524,68944,41714,16159,51870,13201
2020/7/1,61429,90510,44043,13159,45822,16018
2020/8/1,64345,66001,43570,11201,37481,14905
2020/9/1,80649,109442,51978,20627,38318,20152
2020/10/1,88801,73117,59406,11354,36872,23427
2020/11/1,74345,77252,62603,16770,41274,31796
2020/12/1,81876,91906,69373,19229,43597,23895
2021/1/1,71567,76079,66018,13544,35294,24950
2021/2/1,111636,86786,67550,15213,39353,21107
2021/3/1,105658,121957,72772,26776,47874,26888
2021/4/1,85170,90865,68429,15573,40705,52239
2021/5/1,78282,79320,63545,20067,46135,29526
2021/6/1,94072,116160,66046,21325,56333,23492
2021/7/1,89001,94287,57590,27628,51855,41190
2021/8/1,78973,112191,57354,18011,39213,36905
2021/9/1,94616,107924,59682,30606,39123,30740
2021/10/1,89223,97059,60924,22566,38984,25283
2021/11/1,88466,121839,63064,21444,44677,25852
2021/12/1,133403,116479,74066,27660,50752,28073
2022/1/1,80191,100227,77403,21021,38597,25860
2022/2/1,73260,90813,72873,20129,42325,37608
2022/3/1,105108,158777,81046,28224,56365,26605
2022/4/1,82532,116858,72455,25650,39808,35004
2022/5/1,85021,129911,62429,28002,40414,46118
2022/6/1,107638,143012,71283,38369,70636,45972
2022/7/1,94319,120802,69448,19988,63427,40071
2022/8/1,99286,100433,68165,20307,53092,31010
2022/9/1,108008,113852,71980,24365,45623,36096
2022/10/1,100453,107166,60057,22295,42046,39028
2022/11/1,88630,103605,63616,25581,51193,24841
2022/12/1,97024,106761,65686,27519,49365,22532
2023/1/1,85896,88558,63730,20156,34938,27159
2023/2/1,98333,90826,60453,18962,42243,25160
2023/3/1,118183,120712,61855,32734,57417,32236
2023/4/1,92926,105502,59117,20345,38165,26447
2023/5/1,85348,88074,48856,24757,43787,25935
2023/6/1,112303,108763,49373,26481,55140,26747
2023/7/1,90251,94816,44618,24861,50668,24192
2023/8/1,107620,88749,44076,24449,42512,21507
